avg_rating,geek_rating,num_voters,rank,release_date,title,url
7.04,5.704,204.0,4351,2013,Global Mogul,/boardgame/143782/global-mogul
6.6,5.704,349.0,4352,2004,"Warhammer 40,000: Battle for Macragge",/boardgame/14403/warhammer-40000-battle-macragge
6.9,5.704,230.0,4353,2003,The Rise of the Roman Republic,/boardgame/6202/rise-roman-republic
7.6,5.704,157.0,4354,1977,La Bataille d'Auerstædt,/boardgame/12898/la-bataille-dauerstaedt
5.81,5.704,6224.0,4355,1985,Pictionary,/boardgame/2281/pictionary
6.43,5.704,396.0,4356,2014,Rise to Power,/boardgame/157912/rise-power
7.11,5.704,263.0,4357,2017,BrilliAnts,/boardgame/181265/brilliants
6.39,5.704,389.0,4358,2009,Zoowaboo,/boardgame/40935/zoowaboo
6.54,5.704,358.0,4359,2001,The Lord of the Rings: The Fellowship of the Ring,/boardgame/3563/lord-rings-fellowship-ring
6.23,5.712,706.0,4257,2002,Mechwarrior: Dark Age,/boardgame/3864/mechwarrior-dark-age
6.43,5.712,457.0,4258,2014,BANG!: The Walking Dead,/boardgame/160567/bang-walking-dead
8.25,5.712,135.0,4259,2017,Next War: Poland,/boardgame/191989/next-war-poland
7.87,5.712,137.0,4260,2004,Three Battles of Manassas,/boardgame/13403/three-battles-manassas
6.97,5.711,225.0,4261,2018,Gravity Superstar,/boardgame/254088/gravity-superstar
6.27,5.711,518.0,4262,2015,Warehouse 51,/boardgame/177702/warehouse-51
6.17,5.711,592.0,4263,1999,Mordred,/boardgame/5869/mordred
6.38,5.711,443.0,4264,2012,Monster Factory,/boardgame/112598/monster-factory
6.61,5.711,307.0,4265,2014,Basari: Das Kartenspiel,/boardgame/152567/basari-das-kartenspiel
6.49,5.711,411.0,4266,2012,Gobbit,/boardgame/132620/gobbit
6.46,5.711,389.0,4267,1921,Tipp-Kick,/boardgame/1644/tipp-kick
5.93,5.711,1947.0,4268,1996,Five Crowns,/boardgame/1472/five-crowns
7.28,5.711,195.0,4269,2017,Tsukiji,/boardgame/142124/tsukiji
6.56,5.711,448.0,4270,2015,Gwent: Monsters and Scoia'tael,/boardgame/178147/gwent-monsters-and-scoiatael
7.11,5.711,195.0,4271,2006,Affentennis,/boardgame/26148/affentennis
7.16,5.711,227.0,4272,2008,The Dungeon of D,/boardgame/34639/dungeon-d
6.97,5.711,248.0,4273,2015,Helionox: The Last Sunset,/boardgame/176980/helionox-last-sunset
6.01,5.711,1096.0,4274,2012,Gauntlet of Fools,/boardgame/129293/gauntlet-fools
6.73,5.71,266.0,4275,2012,HomeStretch,/boardgame/129945/homestretch
6.49,5.71,395.0,4276,2013,Sherlock 13,/boardgame/149869/sherlock-13
6.45,5.678,300.0,4708,2013,Brandon the Brave,/boardgame/148767/brandon-brave
6.34,5.678,365.0,4709,1993,Klondike,/boardgame/1702/klondike
6.24,5.678,419.0,4710,2012,Urbanization,/boardgame/118337/urbanization
6.33,5.678,385.0,4711,2012,Linkee,/boardgame/147194/linkee
7.65,5.678,128.0,4712,2009,Campaign Commander Volume I: Roads to Stalingrad,/boardgame/40243/campaign-commander-volume-i-roads-stalingrad
7.01,5.678,177.0,4713,2018,Mars Open: Tabletop Golf,/boardgame/230361/mars-open-tabletop-golf
6.15,5.678,498.0,4714,2011,Swish,/boardgame/99219/swish
7.53,5.678,132.0,4715,2018,SPQF,/boardgame/249106/spqf
7.03,5.678,190.0,4716,2009,Airborne in my Pocket,/boardgame/42651/airborne-my-pocket
6.49,5.678,281.0,4717,1995,Hattrick,/boardgame/350/hattrick
7.03,5.678,183.0,4718,1972,Winter War,/boardgame/8798/winter-war
6.19,5.678,558.0,4719,2011,Cover Your Assets,/boardgame/121193/cover-your-assets
6.17,5.678,508.0,4720,2002,Wheedle,/boardgame/5393/wheedle
6.83,5.678,237.0,4721,2015,Waste Knights,/boardgame/174260/waste-knights
6.54,5.678,267.0,4722,2006,Ausgerechnet Uppsala,/boardgame/26156/ausgerechnet-uppsala
6.42,5.678,313.0,4723,1997,...und tschüss!,/boardgame/853/und-tschuss
8.09,5.678,132.0,4724,2019,Legends Untold: The Great Sewers Novice Set,/boardgame/216179/legends-untold-great-sewers-novice-set
6.06,5.678,981.0,4725,1994,Star Trek: Customizable Card Game (first edition),/boardgame/3852/star-trek-customizable-card-game-first-edition
8.54,5.678,93.0,4726,2017,Ligny 1815: Last Eagles,/boardgame/235454/ligny-1815-last-eagles
6.99,5.677,182.0,4727,1981,"Cedar Mountain: Prelude to Bull Run, August 9, 1862",/boardgame/4346/cedar-mountain-prelude-bull-run-august-9-1862
7.55,5.677,146.0,4728,2005,Corsair Leader,/boardgame/20734/corsair-leader
6.57,5.975,1153.0,2359,2017,Pocket Mars,/boardgame/223779/pocket-mars
6.79,5.975,793.0,2360,2015,Simurgh,/boardgame/160559/simurgh
6.73,5.975,1174.0,2361,1981,Dark Tower,/boardgame/30/dark-tower
7.14,5.975,535.0,2362,2018,Gunkimono,/boardgame/251890/gunkimono
7.35,5.975,441.0,2363,1991,Breaking Away,/boardgame/2981/breaking-away
6.46,5.975,1388.0,2364,2007,Dust,/boardgame/29109/dust
6.42,5.974,2011.0,2365,2014,The Witcher Adventure Game,/boardgame/147116/witcher-adventure-game
6.26,5.974,2319.0,2366,1989,Café International,/boardgame/214/cafe-international
6.92,5.974,634.0,2367,2018,Lost Cities: Rivals,/boardgame/253398/lost-cities-rivals
6.84,5.974,784.0,2368,2012,Fortress America,/boardgame/115293/fortress-america
6.61,5.974,966.0,2369,2002,Fische Fluppen Frikadellen,/boardgame/4370/fische-fluppen-frikadellen
7.27,5.974,507.0,2370,2019,Copenhagen,/boardgame/269595/copenhagen
6.72,5.974,867.0,2371,2016,Camel Up Cards,/boardgame/192947/camel-cards
7.48,5.974,427.0,2372,2015,Pixel Tactics Deluxe,/boardgame/169274/pixel-tactics-deluxe
7.56,5.973,398.0,2373,2006,Afrika (second edition),/boardgame/24070/afrika-second-edition
